Symbol,Market Cap,Sector,Industry
A,45367796570,Capital Goods,Electrical Products
AA,6962965741,Basic Industries,Metal Fabrications
AAC,1225000000,Finance,Business Services
AAIC,132250665,Finance,Finance/Investors Services
AAIC^B,,,
AAIC^C,,,
AAN,1112118829,Miscellaneous,Diversified Commercial Services
AAP,13868459719,Consumer Services,Other Specialty Stores
AAQC,485000000,Finance,Business Services
AAT,2300365759,Consumer Services,Real Estate Investment Trusts
AB,4686846557,Finance,Investment Managers
ABB,72279755167,Consumer Durables,Electrical Products
ABBV,2.07761E+11,Health Care,Major Pharmaceuticals
ABC,23966308349,Health Care,Other Pharmaceuticals
ABEV,53662853487,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,3626700054,Consumer Services,Other Specialty Stores
ABM,2969888977,Technology,Diversified Commercial Services
ABR,2600578773,Consumer Services,Real Estate Investment Trusts
ABR^D,,,
ABT,2.11104E+11,Health Care,Major Pharmaceuticals
AC,875550961,Finance,Investment Bankers/Brokers/Service
ACA,2715096898,Capital Goods,Industrial Machinery/Components
ACC,6858823152,Consumer Services,Real Estate Investment Trusts
ACCO,800221762,Consumer Services,Advertising
ACEL,1033825318,Consumer Services,Recreational Products/Toys
ACH,10288503531,Basic Industries,Aluminum
ACI,9320889001,Consumer Services,Food Chains
ACIC,619375000,,
ACII,420900000,,
ACM,9263744484,Consumer Services,Military/Government/Technical
ACN,1.97578E+11,Technology,EDP Services
ACND,515947500,Technology,Computer Software: Prepackaged Software
ACP,194942764,Finance,Investment Managers
ACP^A,,,
ACR,153557487,Consumer Services,Real Estate Investment Trusts
ACR^C,,,
ACR^D,,,
ACRE,719117151,Consumer Services,Real Estate Investment Trusts
ACV,365493376,Finance,Finance/Investors Services
ADC,5027011710,Consumer Services,Real Estate Investment Trusts
ADCT,1886307000,Health Care,Major Pharmaceuticals
ADEX,333270000,,
ADF,146634975,,
ADM,33522126600,Consumer Non-Durables,Farming/Seeds/Milling
ADNT,4001026713,Capital Goods,Auto Parts:O.E.M.
ADS,5314462429,Finance,Diversified Financial Services
ADT,8852825356,Consumer Services,Diversified Commercial Services
ADX,2221917738,Finance,Investment Managers
AEB,0,Finance,Life Insurance
AEE,21180201063,Public Utilities,Power Generation
AEFC,0,,
AEG,8808746264,Finance,Life Insurance
AEL,3005037387,Finance,Life Insurance
AEL^A,,,
AEL^B,,,
AEM,14699041116,Basic Industries,Precious Metals
AENZ,299939742,Capital Goods,Engineering & Construction
AEO,6227324858,Consumer Services,Clothing/Shoe/Accessory Stores
AER,6710598857,Technology,Diversified Commercial Services
AES,17289377817,Public Utilities,Electric Utilities: Central
